,query,answer,options,sum_supports
0,What is the subclass of 'name calling'?,word,"['ability', 'abuse', 'academic', 'behavior', 'belief', 'bullying', 'class', 'conflict', 'entity', 'ethnic group', 'force', 'gender', 'harassment', 'information', 'language', 'lineage', 'nation', 'party', 'people', 'population', 'propaganda', 'relationship', 'religion', 'statement', 'threat', 'word']"," The 2004 Summer Olympic Games, held in Athens, Greece, marked the return of the games to their birthplace. With a motto of ""Welcome Home,"" the event featured 10,625 athletes from 201 countries competing in 301 medal events across 28 sports. This edition of the Games was significant as it was the first time all countries with a National Olympic Committee participated.

In the realm of beach volleyball, a sport introduced to the Olympics in 1996, Juan Miguel Rossell Milanes from Cuba emerged as a notable figure. He won the gold medal in the men's beach team competition at the 2003 Pan American Games in Santo Domingo, Dominican Republic, partnering Francisco Alvarez. Rossell Milanes also represented Cuba at the 1996 and 2004 Summer Olympics.

The Pan American Games, a major sporting event in the Americas, also featured beach volleyball as a competitive discipline. The 14th Pan American Games took place in Santo Domingo, Dominican Republic, in 2003. The successful bid for the games was made in the mid-1990s, when the Dominican Republic experienced one of the highest growth rates in Latin America.

The International Olympic Committee (IOC) voted in 1986 to separate the Summer and Winter Games, which had been held in the same year since 1924, and place them in alternating even-numbered years, beginning in 1994. The 1996 Summer Games were the first to be staged in a different year from the Winter Games. Atlanta, Georgia, United States, hosted the 1996 Summer Games, becoming the fifth American city to host the Olympic Games and the third to hold a Summer Olympic Games. <|end|>"
1,What sport did the 2009 Texas Tech Red Raiders football team play?,american football,"['american football', 'football', 'national collegiate athletic association', 'united kingdom']"," Christianity is a monotheistic religion based on the life and teachings of Jesus Christ. It is the largest religion in the world, with over 2 billion followers. Christians believe in one God and follow the teachings of Jesus Christ, who they believe is the Son of God and the savior of humanity.

Lakewood Church is a nondenominational charismatic Christian megachurch located in Houston, Texas. It is the largest congregation in the United States, with an average attendance of about 52,000 people per week. The church is led by Joel Osteen, who is the son of John Hillery Osteen, the founder and first pastor of Lakewood Church.

Mexico is a federal republic in North America, bordered by the United States, Guatemala, Belize, the Caribbean Sea, and the Pacific Ocean. It is the most populous Spanish-speaking country in the world and the second most populous country in Latin America. Mexico is a federation comprising 31 states and a federal district that is also its capital and most populous city.

John Hillery Osteen founded Lakewood Church in Houston, Texas, in 1959. He served as the first pastor until his death in 1999. His son, Joel Osteen, succeeded him as pastor and continues to lead the church today.

Houston is the most populous city in Texas and the fourth-most populous city in the United States. It is located in Southeast Texas near the Gulf of Mexico and is the seat of Harris County. Houston is the principal city of the Houston metropolitan area, which is the fifth-most populated metropolitan area in the United States.

In summary, Christianity is a monotheistic religion based on the life and teachings of Jesus Christ, with over 2 billion followers worldwide. Lakewood Church in Houston, Texas, is the largest congregation in the United States, led by Joel Osteen, the son of John Hillery Osteen, the founder and first pastor of the church. Houston is the most populous city in Texas and the fourth-most populous city in the United States, and is the principal city of the Houston metropolitan area. <|end|>"
2,What is the primary use of the Boeing 717?,commercial aviation,"['art', 'aviation', 'combat', 'combustion', 'commercial aviation', 'engine', 'fighter', 'hotel', 'mass', 'military', 'propulsion', 'service', 'travel']"," Herpetology is the branch of zoology that studies amphibians and reptiles, including turtles, snakes, lizards, and crocodilians. Reptiles are tetrapod animals with a bony skull and limbs or limb-like appendages. They are ectothermic, meaning they rely on external sources of heat to regulate their body temperature. Reptiles have a unique skin covered in scales or scutes, which helps prevent water loss.

The skull of reptiles is composed of two parts: the cranium and the mandible. The cranium houses the brain, while the mandible forms the lower jaw. Reptiles have a well-developed jaw structure, which allows them to capture and consume a wide variety of prey.

Reptiles reproduce through internal fertilization, with most species laying eggs. The eggs have a leathery or hard shell, which protects the developing embryo from desiccation and predation. Some reptiles, such as certain species of snakes and lizards, give birth to live young.

Reptiles have a diverse range of adaptations that allow them to thrive in various environments. For example, crocodiles have a streamlined body and powerful jaws, enabling them to be efficient predators in aquatic habitats. Snakes have highly flexible bodies and specialized jaw muscles, allowing them to swallow prey much larger than their heads. Lizards have well-developed limbs and claws, which help them climb and navigate their surroundings.

Reptiles play essential roles in ecosystems as both predators and prey. They help control populations of other animals, such as insects and small mammals, and serve as food sources for larger predators.

In summary, herpetology is the study of amphibians and reptiles, which are tetrapod animals with unique adaptations that allow them to thrive in various environments. Reptiles have a bony skull, limbs or limb-like appendages, and a unique skin covered in scales or scutes. They reproduce through internal fertilization, with most species laying eggs. Reptiles have diverse adaptations that enable them to be efficient"
3,In which administrative territorial entity is Vorna Valley located?,city of johannesburg metropolitan municipality,"['africa', 'angola', 'antarctica', 'atlantic ocean', 'botswana', 'cameroon', 'central', 'city of johannesburg metropolitan municipality', 'comoros', 'earth', 'east', 'england', 'europe', 'gauteng', 'harare', 'independence', 'indian', 'lesotho', 'limpopo', 'madagascar', 'malawi', 'most', 'mozambique', 'namibia', 'niger', 'northwest', 'of', 'red sea', 'river', 'somalia', 'south', 'south africa', 'suez', 'swaziland', 'tanzania', 'west', 'windhoek', 'zimbabwe']"," Mekosuchinae was a subfamily of crocodiles that lived in Australia and the South Pacific. They first appeared in the Eocene epoch in Australia and survived until the Pleistocene in Australia and until the arrival of humans in the Pacific islands of Fiji, New Caledonia, and Vanuatu. There is some debate over whether Mekosuchinae should be classified as a subfamily within Crocodylidae or as a distinct family, Mekosuchidae, within the superfamily Crocodyloidea.

Australosuchus is an extinct genus of crocodylian that belonged to the Mekosuchinae subfamily. The only known species, Australosuchus clarkae, lived during the Late Oligocene and Early Miocene periods in southern Australia. The generic name Australosuchus means ""Southern crocodile."" The species was described in 1991 based on fossil material found at Lake Palankarinna in South Australia. <|end|>"
4,In which language was Barbie Thumbelina originally written?,english,"['danish', 'english', 'french', 'italian', 'japanese']"," The Three Kingdoms period (220280) in China was marked by the competition for supremacy among the states of Wei, Shu, and Wu. Wu, also known as Eastern Wu, was founded by Sun Quan in 222 and declared independence from the Cao Wei state in 229. Sun Quan ruled as ""King of Wu"" until 229 and as ""Emperor of Wu"" until 252. The state's capital was initially Jianye (present-day Nanjing, Jiangsu) but later moved to Wuchang (present-day Ezhou, Hubei). The state of Cao Wei was established by Cao Pi in 220, with its capital at Luoyang. Cao Wei's authority weakened after the death of Cao Rui, leading to the rise of Sima Yi and his family. The state of Shu Han was founded by Liu Bei in 221, with its capital at Chengdu. The Yellow Turban Rebellion (184-205) marked a significant event in Taoism's history due to its association with secret Taoist societies. Japan, located off the eastern coast of Asia, is an island nation in the Pacific Ocean. The Qin dynasty (221206 BC) was the first unified Chinese empire, founded by Qin Shi Huang after conquering the other states during the Warring States period. The Warring States period (481403 BC) was a time of conflict that ended with the Qin dynasty's victory in 221 BC. Archimedes of Syracuse was a renowned mathematician and scientist. The concept of buoyancy, or Archimedes' principle, states that the upward force exerted on a submerged object is equal to the weight of the fluid displaced by the object. The state of Cao Wei was founded by Cao Cao, a warlord who rose to power during the late Eastern Han dynasty. Cao Cao's son, Cao Pi, forced Emperor Xian to abdicate in his favor, establishing the Cao Wei state. Liu Bei declared himself emperor of Shu Han, while Sun"
5,In which language was the work 'One Spy Too Many' originally written?,english,"['english', 'japanese', 'russian']"," King Kobra, a hard rock band founded by drummer Carmine Appice, was active from 1983 to 1986. The band's first two albums, ""Ready to Strike"" and ""Thrill of a Lifetime,"" were released in 1985 and 1986, respectively. The band's third album, ""King Kobra III,"" was released in 1988. After the band's dissolution, Appice joined guitarist John Sykes on his Blue Murder project in 1989.

Bernardo Chavez Rico, known as B.C., was an American luthier specializing in guitars. He was born in East Los Angeles, California, and began his career building Flamenco, Classical guitars, banjos, and ukuleles in the 1950s. Rico's original instruments were acoustic guitars made under the name B.C. Rico. These acoustic guitars are very rare, with approximately 300 surviving.

Dokken is an American metal band formed in Los Angeles in 1979. The band split up in 1989 and reformed in 1993. They achieved moderate chart success in the late 1980s and early 1990s.

Van Halen is an American hard rock band formed in Pasadena, California, in 1972. The band consisted of Eddie Van Halen, David Lee Roth, Alex Van Halen, and Michael Anthony from 1974 until 1985. The band has sold more than 100 million records worldwide, making them one of the world's best-selling bands of all time.

L.A. Guns is an American hard rock band from Los Angeles, California, formed in 1983. The band has experienced numerous lineup changes, with Steve Riley being the most consistent member.

W.A.S.P. is an American heavy metal band formed in 1982 by Blackie Lawless. The band gained notoriety for their shock rock themes and live performances. They have sold over 12 million copies of their"
6,What was the country of citizenship for Helen Cresswell?,united kingdom,"['british', 'united kingdom']"," Wu-Tang Clan's debut album, ""Enter the Wu-Tang (36 Chambers),"" was released on November 9, 1993, by Loud Records and distributed through RCA Records. The album, produced entirely by RZA (then known as Prince Rakeem), showcases the group's unique sound, heavily influenced by martial arts films and soul music samples. The album's title is derived from the martial arts film ""The 36th Chamber of Shaolin.""

The album features eight original members of the Wu-Tang Clan, including RZA, GZA, Ol' Dirty Bastard, Method Man, Raekwon, Ghostface Killah, Inspectah Deck, and U-God. Cappadonna later joined the group as an official member. The album's standout track, ""Protect Ya Neck,"" features Method Man, who would later collaborate with Redman on the hit single ""Method of Modern Love.""

The album's success led to the formation of the Wu-Tang Clan, a hip hop collective that would go on to achieve mainstream success with their 1993 debut album ""Enter the Wu-Tang (36 Chambers)."" The group's members pursued solo careers, with Ghostface Killah releasing his debut solo album ""Ironman"" in 1996 and Method Man collaborating with Mary J. Blige on the Grammy Award-winning single ""I'll Be There for You/You're All I Need to Get By.""

The album's production was heavily influenced by RZA's use of eerie beats and soul music samples, creating a unique sound that would become a hallmark of the Wu-Tang Clan's music. The album's success helped establish the Wu-Tang Clan as one of the most influential hip hop groups of the 1990s, and their music continues to inspire artists today. <|end|>"
7,What was the place of birth of Nathan Handwerker?,germany,"['africa', 'caucasus', 'geneva', 'germany', 'ii', 'nairobi', 'of', 'overland', 'sandwich', 'south america', 'southeast', 'vienna']"," Chhattisgarh, a state in central India, is rich in mineral resources, including tin. Tin, a chemical element with the symbol Sn and atomic number 50, is obtained chiefly from the mineral cassiterite, which contains tin dioxide, SnO. Tin shows a chemical similarity to both of its neighbors in group 14, germanium and lead, and has two main oxidation states, +2 and the slightly more stable +4.

The state of Chhattisgarh, with a population of 28 million, is the seventh-largest country by area and the second-most populous country in the world. It is bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast. Chhattisgarh shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the northeast; and Myanmar (Burma) and Bangladesh to the east.

Chhattisgarh's capital city is Raipur, which is also the administrative headquarters of the district. The state is rich in mineral resources, and there are many wildlife sanctuaries and sightseeing places worth visiting. The district has a population of 30 lakhs.

Chhattisgarh is one of the fastest-developing states in India, with provisions made for its expansion and to upgrade infrastructure in the future. The state's jurisdiction is governed by the laws of India, which are enforced through social and governmental institutions.

In summary, Chhattisgarh is a state in central India, rich in mineral resources, including tin. Its capital city is Raipur, and the state is known for its fast-developing infrastructure and various wildlife sanctuaries and sightseeing places. <|end|>"
8,What is the subclass of 'type design'?,typography,"['alphabet', 'ancient greek', 'arrangement', 'bar', 'being', 'communication', 'designer', 'font', 'french', 'greek', 'greek letter', 'group', 'language', 'latin', 'latin alphabet', 'letter', 'line', 'metal', 'name', 'plural', 'process', 'range', 'style', 'symbol', 'term', 'type', 'typography', 'vowel', 'weight']"," BBC Choice, launched on September 23, 1998, was the first British TV channel to broadcast exclusively in digital format. It was the BBC's second non-terrestrial channel launch, following the BBC News channel in 1997. BBC iPlayer, an internet streaming catchup television and radio service, is available on a wide range of devices and does not display commercial advertising. BBC Three, a digital publisher and broadcaster, launched on February 16, 2016, and was originally intended as a replacement for BBC Choice. It aimed to provide innovative programming to viewers aged 16 to 34.

Dan Clark, an English actor, comedian, writer, director, and singer, is best known for playing Don Danbury in the BBC Three sitcom ""How Not to Live Your Life."" The show, which aired from September 27, 2007, to December 22, 2011, follows a neurotic twenty-nine-year-old man trying to navigate life with bad instincts. The show gained a cult following and doubled its ratings each series. The third series garnered 1.5 million viewers and was the second most watched show on BBC iPlayer. However, the show was cancelled by BBC Three controller Zai Bennett after Danny Cohen's departure. <|end|>"
9,What genre does the film 'Bachke Rehna Re Baba' belong to?,comedy film,"['adult', 'anthology', 'bollywood', 'child', 'comedian', 'comedy', 'comedy film', 'country', 'cult', 'family', 'hindi', 'india', 'information', 'music', 'narrative', 'party', 'persian', 'politics', 'remake', 'romantic', 'romantic comedy', 'share', 'sketch comedy', 'television', 'united states of america', 'urban', 'western', 'will']"," Canada, the second-largest country by total area and the fourth-largest by land area, is located in the northern half of North America. It extends from the Atlantic to the Pacific and northward into the Arctic Ocean, covering a vast territory of over 9.98 million square kilometers. The country's diverse climate ranges from cold or severely cold winters in the majority of its land territory to warm summers in the southerly areas.

Canada's population of 36 million is predominantly urbanized, with about four-fifths living near the southern border. The country's capital is Ottawa, and its largest city is Toronto. Other major urban areas include Montreal, Vancouver, Calgary, Edmonton, Quebec City, Winnipeg, and Hamilton.

Canadian music has been influenced by various genres, including alternative country, indie pop, pop rock, folk, and indie rock. Justin Rutledge, Jill Barber, and Matthew Barber are notable Canadian singer-songwriters who have contributed to these genres.

Outside Music, a Canadian record label founded in 1995, has expanded to include an artist management division. It manages artists such as Jill Barber, Matthew Barber, Aidan Knight, and Justin Rutledge. A record label is a brand or trademark associated with the marketing of music recordings and music videos, and it often functions as a publishing company that coordinates the production, manufacture, distribution, marketing, promotion, and enforcement of copyright for sound recordings and music videos.

Guelph, a city in southwestern Ontario, is the seat of Wellington County and is politically independent of it. It is located east of Waterloo and west of Downtown Toronto, at the intersection of Highway 6 and Highway 7.

Ontario, one of Canada's 13 provinces and territories, is located in east-central Canada and is the most populous province, accounting for nearly 40 percent of all Canadians. It is also the second-largest province in total area. Ontario is home to the nation's capital city, Ottawa, and the nation's most populous city, Toronto.

Will Kidman, a Canadian rock music"
